label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
CAR,345,145,163,104,vid_4_10980.jpg,676,380
TRUCK,118,150,145,113,vid_4_11000.jpg,676,380
TRUCK,9,193,55,45,vid_4_11020.jpg,676,380
CAR,411,190,22,33,vid_4_11040.jpg,676,380
TRUCK,113,208,21,14,vid_4_11180.jpg,676,380
TRUCK,60,206,27,27,vid_4_11200.jpg,676,380
CAR,450,136,185,110,vid_4_11240.jpg,676,380
CAR,283,184,118,69,vid_4_11260.jpg,676,380
CAR,55,203,130,70,vid_4_11280.jpg,676,380
CAR,297,171,124,69,vid_4_11400.jpg,676,380
CAR,139,200,96,49,vid_4_11420.jpg,676,380
CAR,7,196,69,52,vid_4_11440.jpg,676,380
CAR,624,148,52,86,vid_4_11880.jpg,676,380
CAR,530,176,92,61,vid_4_11900.jpg,676,380
CAR,411,156,104,83,vid_4_11920.jpg,676,380
CAR,303,181,92,77,vid_4_11940.jpg,676,380
CAR,156,196,109,65,vid_4_11960.jpg,676,380
CAR,64,188,99,66,vid_4_11980.jpg,676,380
